,pop,emp,unemp,seed,count,rate,components
136,6831,3467,84,0.0,1,0.023655308363841172,49035104200
137,3079,1951,23,0.0,1,0.01165146909827761,49035104300
138,2130,903,18,0.0,1,0.019543973941368076,49035104400
139,5369,3391,50,0.0,1,0.014530659691950014,49035104700
140,5346,3271,36,0.0,1,0.010885999395222256,49035104800
141,3546,2318,87,0.0,1,0.03617463617463618,49035104900
142,4571,2575,38,0.0,1,0.01454267125908917,49035110102
143,3720,2259,13,0.0,1,0.005721830985915493,49035110103
144,5687,2801,29,0.0,1,0.010247349823321554,49035110104
145,5510,3558,47,0.0,1,0.0130374479889043,49035110200
146,5795,3406,56,0.0,1,0.016175621028307337,49035110300
147,3847,1687,59,0.0,1,0.03379152348224513,49035110401
148,3992,2152,10,0.0,1,0.004625346901017576,49035110402
149,6944,3082,88,0.0,1,0.0277602523659306,49035110500
150,5757,3104,52,0.0,1,0.016476552598225603,49035110600
151,3842,2522,29,0.0,1,0.011368090944727557,49035110701
152,5201,2679,66,0.0,1,0.024043715846994537,49035110702
153,5966,2923,59,0.0,1,0.019785378940308518,49035110800
154,4670,2454,21,0.0,1,0.008484848484848486,49035110900
155,4877,2575,69,0.0,1,0.026096822995461424,49035111001
156,6329,3234,47,0.0,1,0.014324900944833891,49035111002
157,6662,3892,49,0.0,1,0.012433392539964476,49035111101
158,6724,3637,88,0.0,1,0.023624161073825502,49035111102
159,6121,2719,31,0.0,1,0.011272727272727273,49035111103
160,3051,2037,30,0.0,1,0.01451378809869376,49035111201
161,5261,3027,111,0.0,1,0.03537284894837476,49035111202
162,6406,3662,85,0.0,1,0.02268481451828129,49035111302
163,3765,2205,36,0.0,1,0.01606425702811245,49035111304
164,4321,2205,76,0.0,1,0.033318719859710653,49035111305
165,2753,1571,47,0.0,1,0.02904820766378245,49035111306
166,6805,3533,172,0.0,1,0.046423751686909584,49035111400
167,1989,1089,32,0.0,1,0.028545941123996433,49035111500
168,8005,3380,100,0.0,1,0.028735632183908046,49035111600
169,5569,3682,69,0.0,1,0.018395094641428952,49035111701
170,4495,2689,102,0.0,1,0.03654604084557506,49035111702
171,5512,3297,86,0.0,1,0.025421223765888266,49035111801
172,2719,1354,67,0.0,1,0.047149894440534836,49035111802
173,4234,2765,62,0.0,1,0.02193137601697913,49035111903
174,3716,2220,63,0.0,1,0.02759526938239159,49035111904
175,3739,2171,18,0.0,1,0.008222932846048425,49035111905
176,4548,2735,100,0.0,1,0.03527336860670194,49035111906
177,3638,2087,61,0.0,1,0.028398510242085662,49035112001
178,4619,2650,183,0.0,1,0.0645958348040946,49035112002
179,7978,5356,100,0.0,1,0.018328445747800588,49035112100
180,5417,2986,150,0.0,1,0.04783163265306122,49035112201
181,4133,2329,86,0.0,1,0.03561076604554866,49035112202
182,4004,2388,62,0.0,1,0.025306122448979593,49035112301
183,3673,2168,110,0.0,1,0.048287971905179985,49035112302
184,6995,3381,95,0.0,1,0.027330264672036825,49035112402
185,5008,4012,133,0.0,1,0.032086851628468034,49035112403
186,4220,2664,169,0.0,1,0.05965407695022944,49035112404
187,3930,2253,93,0.0,1,0.03964194373401535,49035112501
188,6911,4380,119,0.0,1,0.026450322293843077,49035112502
189,4846,2375,55,0.0,1,0.02263374485596708,49035112503
190,5221,2827,73,0.0,1,0.02517241379310345,49035112604
191,7197,4889,121,0.0,1,0.024151696606786427,49035112605
192,5681,2676,40,0.0,1,0.014727540500736377,49035112608
193,6038,2997,33,0.0,1,0.01089108910891089,49035112609
194,4500,2610,68,0.0,1,0.02539208364451083,49035112610
195,7166,3852,65,0.0,1,0.016594332397242787,49035112611
196,4577,2407,67,0.0,1,0.027081649151172192,49035112612
197,5227,2700,80,0.0,1,0.02877697841726619,49035112613
198,3596,1660,33,0.0,1,0.019492025989367986,49035112614
199,2474,1284,48,0.0,1,0.036036036036036036,49035112615
200,4701,2255,108,0.0,1,0.045704612780363946,49035112616
201,3978,2291,46,0.0,1,0.019683354728284124,49035112617
202,3552,1842,73,0.0,1,0.0381201044386423,49035112618
203,3439,1706,43,0.0,1,0.024585477415666093,49035112619
204,5222,3319,136,0.0,1,0.039363241678726485,49035112700
205,5930,3102,38,0.0,1,0.012101910828025478,49035112804
206,5665,2999,80,0.0,1,0.025982461838259176,49035112805
207,7326,4229,179,0.0,1,0.040607985480943735,49035112810
208,5881,3264,117,0.0,1,0.03460514640638864,49035112812
209,6014,3338,96,0.0,1,0.027955736750145604,49035112813
210,4799,2468,42,0.0,1,0.016733067729083666,49035112814
211,5351,2867,84,0.0,1,0.02846492714334124,49035112815
212,5326,2647,105,0.0,1,0.03815406976744186,49035112816
213,7149,4438,50,0.0,1,0.011140819964349376,49035112817
214,4309,0,0,0.0,1,,49035112818
215,7818,3922,74,0.0,1,0.018518518518518517,49035112819
216,7974,4442,122,0.0,1,0.02673093777388256,49035112820
217,7023,3413,82,0.0,1,0.0234620886981402,49035112821
218,5310,2266,39,0.0,1,0.016919739696312365,49035112822
219,4710,2623,57,0.0,1,0.02126865671641791,49035112823
220,7456,3678,108,0.0,1,0.028526148969889066,49035112904
221,5685,2887,136,0.0,1,0.044988422097254385,49035112905
222,2893,1760,74,0.0,1,0.04034896401308615,49035112912
223,5777,2863,100,0.0,1,0.03374957813027337,49035112913
