Type,Time,Amount
Red Packet,2/18/15 20:07,0.19
Red Packet,2/21/15 22:08,0.2
Red Packet,2/12/18 1:06,0.21
Red Packet,2/18/15 19:50,0.21
Red Packet,2/20/15 7:11,0.22
Red Packet,2/19/15 0:55,0.22
Red Packet,2/8/16 1:01,0.23
Red Packet,2/19/15 1:29,0.23
Red Packet,2/19/15 10:20,0.24
Red Packet,2/19/15 18:57,0.26
Red Packet,1/27/17 19:29,0.27
Red Packet,2/16/15 3:41,0.27
Red Packet,2/19/15 1:09,0.28
Red Packet,2/18/15 19:42,0.28
Red Packet,2/24/15 2:41,0.29
Red Packet,2/21/15 20:06,0.29
Red Packet,2/14/15 21:14,0.29
Red Packet,7/30/17 8:45,0.31
Red Packet,1/1/16 8:40,0.31
Red Packet,2/19/15 10:41,0.31
Red Packet,2/19/15 8:03,0.31
Red Packet,2/18/15 20:20,0.31
Red Packet,2/16/16 19:26,0.33
Red Packet,2/9/16 22:23,0.33
Red Packet,2/8/16 10:24,0.33
Red Packet,2/17/15 21:17,0.34
Red Packet,5/20/15 22:49,0.36
Red Packet,2/21/15 22:50,0.36
Red Packet,2/20/15 8:44,0.36
Red Packet,2/18/15 14:16,0.37
Red Packet,3/1/15 16:29,0.38
Red Packet,2/19/15 8:34,0.38
Red Packet,2/19/15 0:55,0.38
Red Packet,2/18/15 21:32,0.38
Red Packet,2/18/15 21:15,0.38
Red Packet,2/8/16 1:01,0.4
Red Packet,1/1/16 0:23,0.4
Red Packet,2/18/15 20:50,0.4
Red Packet,5/1/15 15:27,0.41
Red Packet,2/18/15 22:58,0.41
Red Packet,2/21/15 19:06,0.42
Red Packet,2/18/15 20:32,0.42
Red Packet,2/18/15 19:50,0.44
Red Packet,2/19/15 7:12,0.45
Red Packet,2/20/15 11:30,0.46
Red Packet,2/8/16 1:01,0.47
Red Packet,2/21/15 19:03,0.47
Red Packet,2/7/16 19:34,0.48
Red Packet,2/19/15 18:51,0.48
Red Packet,2/19/15 19:37,0.49
Red Packet,2/19/15 1:29,0.49
Red Packet,8/23/17 7:45,0.5
Red Packet,3/19/16 21:34,0.5
QR code transfer,1/30/16 14:23,-7
Red Packet,2/7/16 19:34,0.5
Red Packet,8/23/17 6:09,0.51
Red Packet,2/18/15 22:42,0.52
Withdraw,1/17/16 13:27,-1235.7
QR code transfer,1/17/16 9:54,1190
Didi ride sharing,1/2/16 20:20,-7
Red Packet,1/27/17 20:39,0.55
Red Packet,1/1/16 0:12,0.55
Red Packet,2/20/15 11:47,0.55
Red Packet,2/19/15 0:49,0.57
Red Packet,2/7/16 18:43,0.58
Red Packet,2/18/15 22:42,0.58
Red Packet,1/27/17 9:30,0.59
Red Packet,2/18/15 19:20,0.59
Red Packet,12/5/15 14:27,0.6
Red Packet,2/21/15 22:05,0.6
Red Packet,2/19/15 19:18,0.6
Red Packet,2/18/15 20:24,0.6
Red Packet,2/22/16 10:20,0.61
Transfer,12/19/15 10:52,-86
Red Packet,1/28/17 12:46,0.62
Didi ride sharing,11/17/15 7:03,-6.2
Transfer,11/15/15 21:26,41
Red Packet,2/18/15 19:20,0.62
Vending Machine,11/8/15 19:39,-5
Red Packet,2/18/15 20:06,0.63
Red Packet,2/18/15 21:00,0.64
Red Packet,2/18/15 20:07,0.64
Red Packet,12/7/17 7:24,0.66
Red Packet,2/21/15 19:06,0.66
Red Packet,2/22/16 20:23,0.67
Red Packet,2/20/15 8:26,0.67
Withdraw,8/24/15 10:34,-80.33
Red Packet,2/19/15 18:58,0.67
Red Packet,2/19/15 7:30,0.67
Vending Machine,7/8/15 11:11,-3
Dangdang,6/18/15 15:02,-112.1
Red Packet,2/19/15 19:21,0.68
Red Packet,2/18/15 20:18,0.68
Vending Machine,5/28/15 18:18,-3.5
Red Packet,1/28/17 12:46,0.7
Red Packet,1/24/17 13:31,0.72
Red Packet,2/7/16 20:27,0.73
Transfer,5/3/15 17:51,-12
Red Packet,2/7/16 22:51,0.77
Vending Machine,4/26/15 18:07,-3.5
Vending Machine,4/21/15 13:35,-3.15
Vending Machine,4/20/15 20:25,-2.25
Vending Machine,4/20/15 20:24,-2.5
Vending Machine,4/15/15 9:54,-2.5
YHD,4/4/15 15:49,-69.76
Vending Machine,3/30/15 16:24,-2.55
Vending Machine,3/29/15 14:41,-3.08
Vending Machine,3/26/15 22:04,-2.7
Vending Machine,3/26/15 22:03,-2.5
Red Packet,2/18/15 14:47,0.78
Red Packet,2/21/15 22:18,0.79
Red Packet,2/19/15 21:03,0.79
Red Packet,2/18/15 20:53,0.79
Red Packet,2/7/16 22:19,0.8
Red Packet,2/18/15 19:50,0.81
Red Packet,2/22/16 20:23,0.82
Dianping,2/28/15 1:06,-25.9
Red Packet,1/19/17 10:29,0.83
Red Packet,12/1/16 16:04,0.83
Red Packet,2/19/15 19:32,0.83
Red Packet,2/21/15 22:14,0.84
Red Packet,2/8/16 1:01,0.86
Red Packet,2/19/15 8:10,0.86
Red Packet,1/1/18 13:59,0.87
Red Packet,2/19/15 19:09,0.88
Red Packet,9/15/16 9:26,0.89
Red Packet,9/11/17 12:19,0.91
Red Packet,2/18/15 20:04,0.91
